all_performers,director,movie_name,movie_type,release_date
"马德林,王晖,刘劲,吴卫东,郝姗姗,吴芃芃,谭仲池,丹尼斯·吴",周琦,通道转兵,历史,2011-08-30
"杨幂,鹿晗,王景春,朱亚文,赖艺,李溪芮,可爱宝利,唐昕,许龄月,柴蔚",安相勋,我是证人,"悬疑,犯罪,惊悚",2015-10-30
,,推拿,,
,,推拿,,
,,推拿,,
,,飓风营救3,,
,,推拿,,
,,推拿,,
,,推拿,,
,,推拿,,
,,飓风营救3,,
,,推拿,,
,,推拿,,
"宫哲,王九胜,王虎城",武洪武,遥远的拥抱,剧情,2009-07-20
,,第七谎言,,
,,第七谎言,,
,,推拿,,
,,我是证人,,
,,我是证人,,
,,通道转兵,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,我是证人,,
,,通道转兵,,
,,我是证人,,
,,通道转兵,,
,,遥远的拥抱,,
,,遥远的拥抱,,
,,失孤,,
,,我是证人,,
"叶念琛,王菀之,周柏豪,杨梓邑,项昌群,庄思敏,陈嘉宝,连诗雅,李静仪,林盛斌",黄柏基,没女神探,"喜剧,爱情",2015-12-15
,,通道转兵,,
,,通道转兵,,
,,遥远的拥抱,,
,,通道转兵,,
,,通道转兵,,
,,通道转兵,,
,,通道转兵,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,第七谎言,,
,,我是证人,,
,,没女神探,,
,,第七谎言,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,没女神探,,
,,推拿,,
,,第七谎言,,
"约翰·布鲁诺,雷·昆特,雷蒙德·昆特,詹姆斯·卡梅隆,弗兰克·洛蒂托,拉克兰·伍兹,保罗·亨利,约翰·加文,Brett Popplewell,詹姆斯·卡梅隆",安德鲁·韦特,深海挑战,"纪录片,冒险",2015-02-12
"沙鲁克·汗,迪皮卡·帕度柯妮,阿布舍克·巴强,阿努潘·凯尔,阿努拉格·卡施亚普,博曼·伊拉尼,杰奇·史洛夫,索努·苏德,维万·沙,普拉部·地伐",法拉·可汗,新年行动,"喜剧,动作,爱情,犯罪",2015-02-12
"曹安俊,杜雨辰,任鹏,王千航,尹贵勇,刘静怡,韩轩桐,邓紫衣,洪亮",余丹戈,亲，别怕,"爱情,惊悚",2015-07-10
"陈意涵,彭于晏,陈妍希,罗北安,林美秀,刘俊宏,余科宏,陈丽如,尤俊志,朱宣洁",郑芬芬,听说,"剧情,爱情",2015-06-26
"蓝燕,王李丹妮,董玉峰,邓紫衣,刘天荣,黄藤,潘来,张珈铭,郭祥,魏宏健",刘天荣,雨夜惊魂,"恐怖,惊悚,悬疑",2015-11-05
"温兆伦,余思潞,隋抒洋,杨心蕊,黄征,黄正杰,施科锋,张斌,庞清,杜华",黄正杰,死亡之谜,"惊悚,悬疑,冒险",2015-02-06
"吕聿来,黎一墨,谢君豪,张睿家,何佩瑜,杜玉明,时诗,张陆,彭波,裘胜斌",宁敬武,墓穴迷城,惊悚,2015-09-18
"狄菲菲,张云翼,程玉珠,孟祥龙,洪海天,吴磊,吴大维,Llian Li,李炼,李炼",李炼,昆塔：盒子总动员,"喜剧,动画,冒险",2015-11-14
"周迅,邓超,张涵予,王宝强,王砚辉,王柠,倪大红,颜北,董琳达,顾长宁",曹保平,李米的猜想,"剧情,爱情,犯罪",2008-09-18
"立威廉,佟丽娅,朱珠,王海祥,汤镇业,刘嘉,田玲,胡蓉蓉,肖剑,商秉驰",杨竞泽,诡劫,"爱情,惊悚,悬疑",2015-08-28
"黎筱濛,李佳怡,梁伽源,徐梦娟,王楠,陈昭,李密,陈相依,白禹飞,翁思浩",刘畅,西游超级粉,"动画,喜剧,冒险",2015-07-03
,,新年行动,,
"胡宇威,郭采洁,李淳,杨祐宁,郭碧婷,柯佳嬿,邹轩琦,樊光耀,郑有杰,张世",王童,对风说爱你,"剧情,爱情",2015-06-26
"乔任梁,张馨予,任达华,玛丽亚·格拉齐亚·库奇诺塔,白凯南,陈静,阿德里亚诺·吉安尼尼,蔡宜达,张一山,张大大",姜国民,魔卡行动,"动作,喜剧,爱情",2015-10-16
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,死亡之谜,,
,,听说,,
,,亲，别怕,,
,,昆塔：盒子总动员,,
"黄宗泽,陈伟霆,谢天华,邓丽欣,赵荣,陈嘉桓,洪天明,龚慈恩,李灿森,翟天临",钟澍佳,男人不可以穷,"剧情,喜剧,爱情",2014-12-24
,,诡劫,,
,,西游超级粉,,
,,西游超级粉,,
"乔诗语,宣晓鸣,陈浩,张瑶函,商虹,莉莉李,张伟,赵震,李智伟,陈好",葛水英,兔子镇的火狐狸,"动画,冒险,奇幻",2015-10-30
,,昆塔：盒子总动员,,
,,对风说爱你,,
,,魔卡行动,,
,,对风说爱你,,
,,魔卡行动,,
,,西游超级粉,,
,,魔卡行动,,
,,魔卡行动,,
,,魔卡行动,,
,,魔卡行动,,
"杨恭如,唐文龙,迟帅,周岭南,李嘉傲,晏菲,郑君奇,丁宾,云飞",晏菲,我只要我们在一起,爱情,2015-02-13
,,魔卡行动,,
,,魔卡行动,,
,,男人不可以穷,,
,,男人不可以穷,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,兔子镇的火狐狸,,
,,男人不可以穷,,
,,男人不可以穷,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,死亡之谜,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,没女神探,,
,,我只要我们在一起,,
,,我只要我们在一起,,
,,男人不可以穷,,
,,男人不可以穷,,
,,我只要我们在一起,,
,,男人不可以穷,,
,,魔卡行动,,
,,男人不可以穷,,
,,男人不可以穷,,
,,对风说爱你,,
,,对风说爱你,,
,,男人不可以穷,,
,,对风说爱你,,
,,男人不可以穷,,
,,对风说爱你,,
,,对风说爱你,,
刘登雄,朱赵伟,王化买父,戏曲,2014-09-28
,,对风说爱你,,
,,西游超级粉,,
,,西游超级粉,,
,,对风说爱你,,
,,西游超级粉,,
,,西游超级粉,,
,,西游超级粉,,
,,西游超级粉,,
,,对风说爱你,,
,,对风说爱你,,
,,西游超级粉,,
,,西游超级粉,,
,,诡劫,,
,,诡劫,,
,,诡劫,,
,,王化买父,,
,,魔卡行动,,
,,诡劫,,
,,诡劫,,
,,诡劫,,
,,魔卡行动,,
,,诡劫,,
,,李米的猜想,,
,,李米的猜想,,
,,诡劫,,
,,李米的猜想,,
,,诡劫,,
,,李米的猜想,,
,,李米的猜想,,
,,诡劫,,
,,昆塔：盒子总动员,,
,,李米的猜想,,
,,李米的猜想,,
,,昆塔：盒子总动员,,
,,昆塔：盒子总动员,,
,,昆塔：盒子总动员,,
,,昆塔：盒子总动员,,
,,李米的猜想,,
,,昆塔：盒子总动员,,
,,昆塔：盒子总动员,,
,,昆塔：盒子总动员,,
,,李米的猜想,,
,,昆塔：盒子总动员,,
,,李米的猜想,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,李米的猜想,,
,,墓穴迷城,,
,,墓穴迷城,,
,,墓穴迷城,,
,,死亡之谜,,
,,死亡之谜,,
,,死亡之谜,,
,,死亡之谜,,
,,墓穴迷城,,
,,死亡之谜,,
,,死亡之谜,,
,,死亡之谜,,
"张汉盛,杨幂,郭采洁,郭碧婷,谢依霖,锦荣,陈学冬,任言恺,李贤宰,姜潮",郭敬明,小时代4：灵魂尽头（含纪录片《最好的我们》）,"纪录片,短片",2015-07-20
,,死亡之谜,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,死亡之谜,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,雨夜惊魂,,
,,听说,,
,,听说,,
,,听说,,
,,听说,,
,,听说,,
,,听说,,
,,听说,,
